"Company Name","Company Status",State,"Date Created","Created By","Last Modified on"
"Angel Oak Nursing",none,SC,"2025-08-05 14:58:09",lorrel.filliater,
"Bremond Nursing",none,TX,"2025-08-08 15:06:48",lorrel.filliater,
"Brownfield Rehab",none,TX,"2025-08-08 15:07:11",lorrel.filliater,
"Buckner Retirement Services",none,TX,"2025-07-22 13:41:43",lorrel.filliater,
"Chesapeake Shores",none,ME,"2025-07-14 10:46:34",lorrel.filliater,"2025-07-14 10:47:11 by lorrel.filliater"
"Copper Ridge",none,ME,"2025-07-14 10:47:56",lorrel.filliater,
"Cross Keys Village",none,PA,"2025-07-16 08:57:34",Emily.Foreman,
"Elim Park",none,CT,"2025-07-30 15:11:32",Emily.Foreman,"2025-08-04 14:05:46 by Emily.Foreman"
"Jack Pines Healthcare LLC dba Pine Crest Health &amp; Memory Care",none,WI,"2025-07-30 15:17:00",Emily.Foreman,
"JenMax Group",none,IL,"2025-07-24 08:18:56",Emily.Foreman,
"La Bella of Alton",none,IL,"2025-07-31 09:44:57",Emily.Foreman,
"La Bella of Clifton",none,IL,"2025-07-31 09:45:27",Emily.Foreman,
"La Bella of Danville",none,IL,"2025-07-31 09:45:48",Emily.Foreman,
"La Bella of Edwardsville",none,IL,"2025-07-31 09:46:16",Emily.Foreman,
"Lake Orion Nursing Rehab",none,MI,"2025-07-21 13:04:03",lorrel.filliater,
"Lutheran Social Ministries of Maryland",none,MD,"2025-07-16 15:08:57",Emily.Foreman,
"Maybrook Hills Rehabilitation and Healthcare",none,PA,"2025-07-09 11:14:33",Emily.Foreman,
"Meadowbrook Care Center",none,TX,"2025-08-08 15:08:21",lorrel.filliater,
"Medilodge of Haggerty Road",none,MI,"2025-08-06 15:24:36",lorrel.filliater,
"Medilodge of Livonia",none,MI,"2025-08-06 15:24:15",lorrel.filliater,
"Medilodge of West Bloomfield",none,MI,"2025-08-06 15:25:00",lorrel.filliater,
"Ryders Health Management",none,CT,"2025-07-28 08:57:25",lorrel.filliater,
"Sabal Health",none,FL,"2025-08-07 08:03:26",lorrel.filliater,
"Silver Oak Nursing",none,IA,"2025-08-05 14:57:36",lorrel.filliater,
"Sorrento Health",none,NJ,"2025-07-24 15:53:50",lorrel.filliater,
"Texas Senior Services",none,TX,"2025-08-08 15:03:44",lorrel.filliater,
"The Terrace at Denison",none,TX,"2025-08-08 15:07:31",lorrel.filliater,
"Villa Haven",none,TX,"2025-08-08 15:06:28",lorrel.filliater,
"Vivo Gateway",none,FL,"2025-08-04 10:06:31",lorrel.filliater,
"Vivo Harbourwood",none,FL,"2025-08-04 10:07:06",lorrel.filliater,
"Vivo Laurellwood",none,FL,"2025-08-04 10:07:28",lorrel.filliater,
"Vivo of Gandy",none,FL,"2025-08-04 10:04:32",lorrel.filliater,"2025-08-04 10:05:17 by lorrel.filliater"
"Vivo of Pinellas",none,FL,"2025-08-04 10:05:51",lorrel.filliater,
"Volare Health",none,KY,"2025-08-08 15:27:16",lorrel.filliater,
"W. Franks Well Nursing Home",none,FL,"2025-08-04 15:34:54",Emily.Foreman,
